,Date,Open,High,Low,Close,Volume
0,0,2.4375,2.5,1.927083,1.958333,72156000
1,1,1.96875,1.979167,1.708333,1.729167,14700000
2,2,1.760417,1.770833,1.625,1.708333,6106800
3,3,1.729167,1.75,1.635417,1.635417,5467200
4,4,1.635417,1.645833,1.375,1.427083,18853200
5,5,1.4375,1.447917,1.3125,1.395833,11776800
6,6,1.40625,1.520833,1.333333,1.5,15937200
7,7,1.510417,1.645833,1.458333,1.583333,8697600
8,8,1.625,1.635417,1.53125,1.53125,4574400
9,9,1.541667,1.541667,1.479167,1.505208,3472800
10,10,1.5,1.510417,1.479167,1.5,2594400
11,11,1.510417,1.53125,1.5,1.510417,591600
12,12,1.53125,1.53125,1.479167,1.479167,1183200
13,13,1.479167,1.489583,1.395833,1.416667,3080400
14,14,1.416667,1.541667,1.375,1.541667,5672400
15,15,1.515625,1.708333,1.510417,1.65625,7807200
16,16,1.65625,1.708333,1.65625,1.6875,2352000
17,17,1.708333,1.708333,1.53125,1.583333,5458800
18,18,1.59375,1.604167,1.53125,1.541667,1188000
19,19,1.583333,1.645833,1.552083,1.604167,1632000
20,20,1.625,1.625,1.583333,1.583333,693600
21,21,1.604167,1.604167,1.5625,1.572917,913200
22,22,1.598958,1.598958,1.494792,1.505208,4706400
23,23,1.520833,1.536458,1.5,1.510417,2464800
24,24,1.510417,1.53125,1.5,1.510417,1003200
25,25,1.53125,1.552083,1.5,1.526042,3387600
26,26,1.541667,1.541667,1.479167,1.5,1047600
27,27,1.505208,1.526042,1.479167,1.510417,751200
28,28,1.526042,1.526042,1.489583,1.510417,2106000
29,29,1.520833,1.520833,1.505208,1.510417,3189600
30,30,1.515625,1.515625,1.479167,1.489583,1188000
31,31,1.510417,1.598958,1.479167,1.541667,2746800
32,32,1.541667,1.541667,1.510417,1.515625,1292400
33,33,1.515625,1.59375,1.510417,1.588542,3882000
34,34,1.598958,1.916667,1.59375,1.911458,12577200
35,35,1.833333,2.020833,1.833333,2.0,8053200
36,36,2.041667,2.333333,2.041667,2.302083,15517200
37,37,2.302083,2.385417,2.270833,2.322917,8262000
38,38,2.333333,2.572917,2.333333,2.5625,9051600
39,39,2.520833,2.520833,2.208333,2.291667,10531200
40,40,2.322917,2.333333,2.114583,2.135417,4604400
41,41,2.135417,2.479167,2.135417,2.4375,9274800
42,42,2.447917,2.494792,2.302083,2.333333,3024000
43,43,2.34375,2.34375,2.15625,2.21875,3169200
44,44,2.1875,2.21875,2.15625,2.15625,780000
45,45,2.177083,2.197917,2.145833,2.182292,574800
46,46,2.166667,2.1875,2.0625,2.135417,1563600
47,47,2.1875,2.333333,2.177083,2.291667,3259200
48,48,2.302083,2.3125,2.21875,2.260417,1216800
49,49,2.21875,2.25,2.21875,2.229167,620400
50,50,2.229167,2.395833,2.21875,2.322917,2574000
51,51,2.364583,2.5,2.333333,2.479167,4814400
52,52,2.5,2.505208,2.427083,2.447917,2517600
53,53,2.4375,2.4375,2.333333,2.395833,1454400
54,54,2.34375,2.416667,2.25,2.416667,3588000
55,55,2.375,2.411458,2.302083,2.3125,2671200
56,56,2.333333,2.333333,2.145833,2.208333,3032400
57,57,2.208333,2.3125,2.1875,2.25,1243200
58,58,2.25,2.260417,2.125,2.177083,2034000
59,59,2.166667,2.302083,2.104167,2.291667,2211600
60,60,2.291667,2.333333,2.25,2.328125,1239600
61,61,2.28125,2.302083,2.197917,2.197917,571200
62,62,2.229167,2.229167,2.166667,2.197917,590400
63,63,2.177083,2.25,2.119792,2.15625,1041600
64,64,2.135417,2.15625,1.9375,2.114583,1597200
65,65,2.052083,2.052083,1.96875,2.041667,1784400
66,66,2.09375,2.208333,2.052083,2.166667,1003200
67,67,2.1875,2.1875,2.072917,2.166667,999600
68,68,2.135417,2.171875,2.072917,2.114583,624000
69,69,2.104167,2.125,2.09375,2.125,712800
70,70,2.104167,2.260417,2.104167,2.21875,1126800
71,71,2.239583,2.354167,2.229167,2.34375,2574000
72,72,2.307292,2.322917,2.25,2.317708,1392000
73,73,2.302083,2.395833,2.28125,2.375,1147200
74,74,2.364583,2.375,2.322917,2.338542,722400
75,75,2.34375,2.375,2.333333,2.354167,732000
76,76,2.34375,2.416667,2.3125,2.333333,1964400
77,77,2.364583,2.552083,2.34375,2.552083,3348000
78,78,2.583333,2.666667,2.458333,2.5,1908000
79,79,2.53125,3.020833,2.5,3.0,5648400
80,80,3.140625,3.385417,3.026042,3.239583,8971200
81,81,3.3125,3.328125,3.125,3.302083,3866400
82,82,3.333333,3.333333,3.041667,3.15625,4262400
83,83,3.1875,3.697917,3.15625,3.6875,3333600
84,84,3.666667,3.677083,3.052083,3.09375,5583600
85,85,3.125,3.541667,3.119792,3.354167,6432000
86,86,3.458333,3.5,3.333333,3.40625,2607600
87,87,3.4375,3.46875,3.28125,3.291667,2128800
88,88,3.380208,4.083333,3.375,3.947917,8929200
89,89,4.0,4.677083,3.947917,4.5,16938000
90,90,4.489583,4.645833,4.395833,4.625,7682400
91,91,4.645833,4.8125,4.291667,4.375,8200800
92,92,4.34375,4.354167,4.052083,4.078125,4968000
93,93,4.072917,4.260417,4.052083,4.166667,2731200
94,94,4.145833,4.1875,3.958333,4.041667,2371200
95,95,4.0,4.348958,3.802083,4.338542,5254800
96,96,4.4375,4.5,3.9375,4.020833,4999200
97,97,4.041667,4.177083,3.989583,4.010417,1876800
98,98,4.083333,4.125,3.979167,4.015625,1164000
99,99,4.0,4.125,3.942708,4.125,2028000
100,100,4.083333,4.1875,4.041667,4.057292,1742400
101,101,4.145833,4.166667,3.984375,4.005208,2806800
102,102,4.0,4.020833,3.739583,3.75,3950400
103,103,3.729167,4.0625,3.666667,3.901042,3787200
104,104,3.927083,4.041667,3.927083,4.0,814800
105,105,4.0625,4.104167,3.833333,3.979167,1546800
106,106,3.96875,3.96875,3.770833,3.921875,2355600
107,107,3.979167,3.979167,3.604167,3.625,3481200
108,108,3.614583,3.65625,3.520833,3.625,2534400
109,109,3.677083,3.875,3.666667,3.822917,4912800
110,110,3.958333,4.4375,3.854167,4.427083,12096000
111,111,4.416667,4.619792,4.375,4.520833,5208000
112,112,4.229167,4.5625,4.1875,4.5,5656800
113,113,4.75,5.0625,4.541667,5.026042,9492000
114,114,4.802083,5.010417,4.229167,4.270833,6091200
115,115,3.916667,5.0,3.875,4.947917,11719200
116,116,5.145833,5.5,5.0,5.390625,7126800
117,117,5.208333,5.354167,5.041667,5.125,4770000
118,118,5.364583,5.458333,4.96875,5.083333,5026800
119,119,5.21875,5.21875,4.947917,5.072917,1999200
120,120,5.0,5.052083,4.822917,4.958333,2365200
121,121,4.979167,5.119792,4.875,4.875,3093600
122,122,4.916667,4.916667,4.635417,4.661458,2913600
123,123,4.416667,4.640625,4.385417,4.479167,2626800
124,124,4.5,4.5625,4.208333,4.208333,2764800
125,125,4.244792,4.3125,3.916667,3.947917,4312800
126,126,3.776042,4.1875,3.666667,3.770833,8683200
127,127,3.947917,3.96875,3.770833,3.859375,4290000
128,128,3.9375,4.208333,3.78125,4.166667,5869200
129,129,4.229167,4.541667,4.21875,4.375,7394400
130,130,4.375,4.479167,4.34375,4.416667,1866000
131,131,4.40625,4.520833,4.3125,4.510417,2534400
132,132,4.572917,4.604167,4.510417,4.583333,5923200
133,133,4.552083,4.583333,4.489583,4.489583,2602800
134,134,4.375,4.416667,4.229167,4.229167,2019600
135,135,4.239583,4.333333,4.041667,4.203125,3304800
136,136,4.239583,4.411458,4.239583,4.260417,1630800
137,137,4.270833,4.333333,4.114583,4.125,1603200
138,138,4.239583,4.375,4.135417,4.270833,2383200
139,139,4.260417,4.302083,4.177083,4.234375,1262400
140,140,4.197917,4.375,4.1875,4.364583,1290000
141,141,4.401042,4.552083,4.385417,4.5,3038400
142,142,4.4375,4.59375,4.354167,4.59375,2661600
143,143,4.541667,4.770833,4.520833,4.708333,4766400
144,144,4.666667,4.770833,4.604167,4.6875,1332000
145,145,4.583333,4.625,4.395833,4.510417,1444800
146,146,4.395833,4.833333,4.395833,4.6875,5014800
147,147,4.645833,4.802083,4.40625,4.541667,2672400
148,148,4.583333,4.666667,4.40625,4.583333,1694400
149,149,4.645833,4.645833,4.458333,4.458333,1687200
